global_id,record_id,event_id,station_network_code,station_code,dataset,split,target_pga,target_log10_pga,target_pgv,target_log10_pgv,target_sa03,target_log10_sa03,target_sa10,target_log10_sa10,target_sa30,target_log10_sa30,source_magnitude,source_depth_km,source_distance_km,station_elevation_m,station_vs30_mps,year,n_samples,early_seconds,z_early_absmax,z_early_rms,z_early_std,z_early_p95_abs,n_early_absmax,n_early_rms,n_early_std,n_early_p95_abs,e_early_absmax,e_early_rms,e_early_std,e_early_p95_abs,h_early_absmax,vec_early_absmax,vec_early_rms
knet:KNG0100310151630,KNG0100310151630,0310151630,KNET,KNG010,knet,train,8.067895,0.9067602374314894,,,,,,,,,5.1,74.0,70.405,6.7,,2003.0,11900.0,10.0,10.531902313232422,7.188831806182861,0.9768863320350647,8.707582473754883,14.269113540649414,12.044044494628906,0.5995771884918213,12.991559982299805,5.49769401550293,3.6001529693603516,0.6424782276153564,4.635035991668701,14.83215618133545,16.592092514038086,14.481001853942871
knet:SZO0019711012037,SZO0019711012037,9711012037,KNET,SZO001,knet,train,176.30438,2.2462631017843013,,,,,,,,,3.8,15.0,12.695,75.5,,1997.0,11900.0,10.0,42.554378509521484,9.301687240600586,4.266959190368652,14.106523513793945,140.7339630126953,13.41425895690918,11.432807922363281,24.508560180664062,180.15814208984375,18.827754974365234,16.84573745727539,30.833017349243164,211.49513244628906,215.73377990722656,24.9188289642334
knet:IBR0130309161743,IBR0130309161743,0309161743,KNET,IBR013,knet,train,6.972811,0.8434078936905783,,,,,,,,,3.6,62.0,37.691,28.5,,2003.0,11900.0,10.0,15.137672424316406,6.194234848022461,1.3404316902160645,7.840478420257568,6.899118423461914,1.437037467956543,1.195088505744934,2.651381492614746,7.300615310668945,1.3984414339065552,1.1809911727905273,2.6544928550720215,8.313725471496582,15.366042137145996,6.5107035636901855
knet:GNM0119711020713,GNM0119711020713,9711020713,KNET,GNM011,knet,train,5.469799,0.7379713675044116,,,,,,,,,4.3,51.0,55.427,41.8,,1997.0,11900.0,10.0,21.21257781982422,18.017051696777344,0.7968865633010864,19.254350662231445,21.289587020874023,16.890111923217773,0.9424600005149841,18.286991119384766,11.95383071899414,7.285238742828369,1.1183549165725708,8.782184600830078,24.234357833862305,31.40939712524414,25.74810028076172
knet:SIG0050410050833,SIG0050410050833,0410050833,KNET,SIG005,knet,train,3.800798,0.5798747888831569,,,,,,,,,4.8,12.0,77.018,92.8,,2004.0,6000.0,10.0,2.6318209171295166,1.1348439455032349,0.3995034992694855,1.7589960098266602,2.0726144313812256,0.5222188830375671,0.49652716517448425,1.0570080280303955,2.364898204803467,0.6869112253189087,0.4940662682056427,1.30487859249115,3.0592257976531982,3.8056890964508057,1.4256333112716675
knet:IBR0109706061809,IBR0109706061809,9706061809,KNET,IBR010,knet,train,4.394431,0.642902649703784,,,,,,,,,3.8,52.0,15.635,23.4,,1997.0,5900.0,10.0,10.018587112426758,7.47606086730957,0.8078023791313171,8.860074996948242,11.34037971496582,7.030935764312744,1.09066641330719,8.869897842407227,13.992547988891602,9.78614330291748,0.9129288196563721,11.417055130004883,17.13170051574707,19.2540283203125,14.180766105651855
knet:OKY0150201241608,OKY0150201241608,0201241608,KNET,OKY015,knet,train,3.578739,0.5537300261371247,,,,,,,,,4.5,9.0,55.742,475.0,,2002.0,11900.0,10.0,24.835824966430664,22.76165199279785,0.4975011944770813,23.583816528320312,9.449005126953125,6.965517520904541,0.6275952458381653,8.030641555786133,4.687786102294922,1.5069808959960938,0.9417203664779663,2.710270881652832,9.644430160522461,25.734542846679688,23.851253509521484
knet:MIE0079811110027,MIE0079811110027,9811110027,KNET,MIE007,knet,train,4.623561,0.6649765917774203,,,,,,,,,3.7,23.0,103.374,81.9,,1998.0,11900.0,10.0,6.724834442138672,6.2397918701171875,0.15161731839179993,6.504809856414795,1.318216323852539,0.8105261921882629,0.1195903941988945,1.0080575942993164,4.350185394287109,3.7916386127471924,0.15104328095912933,4.048359394073486,4.46555757522583,7.872591018676758,7.3463239669799805
knet:TKS0080102081412,TKS0080102081412,0102081412,KNET,TKS008,knet,train,52.486057,1.720043947745028,,,,,,,,,4.2,14.0,26.494,332.0,,2001.0,11900.0,10.0,50.9190559387207,7.189049243927002,7.019436359405518,15.677070617675781,39.420127868652344,6.886781215667725,6.77621603012085,15.651453018188477,44.320106506347656,8.426551818847656,7.58087158203125,18.754840850830078,48.1820068359375,57.08755874633789,13.042889595031738
knet:AIC0150310050029,AIC0150310050029,0310050029,KNET,AIC015,knet,train,2.792772,0.44603548164311335,,,,,,,,,4.5,13.0,139.614,7.5,,2003.0,11900.0,10.0,4.796743392944336,4.531971454620361,0.07954728603363037,4.6630144119262695,8.359909057617188,8.033981323242188,0.11378996819257736,8.212888717651367,11.319637298583984,11.00430679321289,0.08966226130723953,11.151885986328125,13.937573432922363,14.657170295715332,14.35891342163086
